Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
theta_inv,0.3842,0.08077,1520,4.76,<.0001,0.05,0.2258,0.5427
gamma,1.0812,0.05457,1520,19.81,<.0001,0.05,0.9742,1.1882
re_trtSal,0.3384,0.1425,1520,2.37,0.0177,0.05,0.05884,0.6179
re_trtSal_Flu,0.2575,0.2983,1520,0.86,0.3882,0.05,-0.3277,0.8426
re_age,-0.6631,0.8551,1520,-0.78,0.4382,0.05,-2.3403,1.0142
re_BMI,-1.2677,1.0983,1520,-1.15,0.2486,0.05,-3.4221,0.8867
re_fev1pp,-1.2212,0.6803,1520,-1.80,0.0728,0.05,-2.5557,0.1132
re_fev1fvcratio,0.3226,0.7500,1520,0.43,0.6672,0.05,-1.1486,1.7937
re_rand_season2,-0.5052,0.2131,1520,-2.37,0.0179,0.05,-0.9233,-0.08711
re_rand_season3,-0.1530,0.2221,1520,-0.69,0.4910,0.05,-0.5886,0.2826
re_rand_season4,0.03184,0.2036,1520,0.16,0.8757,0.05,-0.3675,0.4311
re_num_re1,-0.4137,0.2206,1520,-1.88,0.0609,0.05,-0.8464,0.01888
re_num_re2,0.04328,0.2819,1520,0.15,0.8780,0.05,-0.5098,0.5963
re_num_re3,-0.3477,0.3322,1520,-1.05,0.2953,0.05,-0.9993,0.3038
re_event_season2,0.01105,0.1743,1520,0.06,0.9494,0.05,-0.3309,0.3530
re_event_season3,-0.4078,0.1894,1520,-2.15,0.0315,0.05,-0.7793,-0.03629
re_event_season4,-0.4837,0.1759,1520,-2.75,0.0060,0.05,-0.8286,-0.1387
re_male,0.08676,0.1380,1520,0.63,0.5297,0.05,-0.1840,0.3575
re_nowsmk,0.06886,0.1717,1520,0.40,0.6885,0.05,-0.2680,0.4057
re_oxygen,0.4553,0.1565,1520,2.91,0.0037,0.05,0.1483,0.7623
re_OPTIMAL,0.08500,0.1940,1520,0.44,0.6614,0.05,-0.2956,0.4656
